Year,Performance Level,Result (%),PercProf,PercProfLEA,PercProfSTATE,Assessment,Gender,Service,Race
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 4/5,0.00,0.0,0.0,43.8,3ELA,All Students,All Students,HI/Pac. Isl.
2019,PL 1,0.09,0.0,0.0,0.0,3ELA,All Students,All Students,2+
2019,PL 2,0.115,0.0,0.0,0.0,3ELA,All Students,All Students,2+
2019,PL 3,0.17,0.0,0.0,0.0,3ELA,All Students,All Students,2+
2019,PL 4,0.527,0.0,0.0,0.0,3ELA,All Students,All Students,2+
2019,PL 5,0.098,0.0,0.0,0.0,3ELA,All Students,All Students,2+
2019,PL 4/5,0.626,62.6,62.6,48.6,3ELA,All Students,All Students,2+
2019,PL 1,0.059,0.0,0.0,0.0,3ELA,All Students,All Students,White
2019,PL 2,0.078,0.0,0.0,0.0,3ELA,All Students,All Students,White
2019,PL 3,0.173,0.0,0.0,0.0,3ELA,All Students,All Students,White
2019,PL 4,0.572,0.0,0.0,0.0,3ELA,All Students,All Students,White
2019,PL 5,0.116,0.0,0.0,0.0,3ELA,All Students,All Students,White
2019,PL 4/5,0.689,68.9,68.9,56.1,3ELA,All Students,All Students,White
2019,PL 1,0.142,0.0,0.0,0.0,3ELA,All Students,ADA 504,All Students
2019,PL 2,0.168,0.0,0.0,0.0,3ELA,All Students,ADA 504,All Students
2019,PL 3,0.246,0.0,0.0,0.0,3ELA,All Students,ADA 504,All Students
2019,PL 4,0.391,0.0,0.0,0.0,3ELA,All Students,ADA 504,All Students
2019,PL 5,0.052,0.0,0.0,0.0,3ELA,All Students,ADA 504,All Students
2019,PL 4/5,0.443,44.3,44.3,34.4,3ELA,All Students,ADA 504,All Students
2019,PL 1,0.111,0.0,0.0,0.0,3ELA,All Students,ADA 504,Asian
2019,PL 2,0.111,0.0,0.0,0.0,3ELA,All Students,ADA 504,Asian
2019,PL 3,0.05,0.0,0.0,0.0,3ELA,All Students,ADA 504,Asian
2019,PL 4,0.611,0.0,0.0,0.0,3ELA,All Students,ADA 504,Asian
2019,PL 5,0.167,0.0,0.0,0.0,3ELA,All Students,ADA 504,Asian
2019,PL 4/5,0.778,77.8,77.8,60.0,3ELA,All Students,ADA 504,Asian
2019,PL 1,0.367,0.0,0.0,0.0,3ELA,All Students,ADA 504,African Am.
2019,PL 2,0.267,0.0,0.0,0.0,3ELA,All Students,ADA 504,African Am.
2019,PL 3,0.25,0.0,0.0,0.0,3ELA,All Students,ADA 504,African Am.
2019,PL 4,0.117,0.0,0.0,0.0,3ELA,All Students,ADA 504,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,ADA 504,African Am.
2019,PL 4/5,0.117,11.7,11.7,15.3,3ELA,All Students,ADA 504,African Am.
2019,PL 1,0.259,0.0,0.0,0.0,3ELA,All Students,ADA 504,Hispanic
2019,PL 2,0.2,0.0,0.0,0.0,3ELA,All Students,ADA 504,Hispanic
2019,PL 3,0.247,0.0,0.0,0.0,3ELA,All Students,ADA 504,Hispanic
2019,PL 4,0.259,0.0,0.0,0.0,3ELA,All Students,ADA 504,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,ADA 504,Hispanic
2019,PL 4/5,0.294,29.4,29.4,22.8,3ELA,All Students,ADA 504,Hispanic
2019,PL 1,0.05,0.0,0.0,0.0,3ELA,All Students,ADA 504,2+
2019,PL 2,0.263,0.0,0.0,0.0,3ELA,All Students,ADA 504,2+
2019,PL 3,0.289,0.0,0.0,0.0,3ELA,All Students,ADA 504,2+
2019,PL 4,0.447,0.0,0.0,0.0,3ELA,All Students,ADA 504,2+
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,ADA 504,2+
2019,PL 4/5,0.447,44.7,44.7,41.1,3ELA,All Students,ADA 504,2+
2019,PL 1,0.063,0.0,0.0,0.0,3ELA,All Students,ADA 504,White
2019,PL 2,0.118,0.0,0.0,0.0,3ELA,All Students,ADA 504,White
2019,PL 3,0.258,0.0,0.0,0.0,3ELA,All Students,ADA 504,White
2019,PL 4,0.489,0.0,0.0,0.0,3ELA,All Students,ADA 504,White
2019,PL 5,0.072,0.0,0.0,0.0,3ELA,All Students,ADA 504,White
2019,PL 4/5,0.561,56.1,56.1,43.6,3ELA,All Students,ADA 504,White
2019,PL 1,0.305,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 2,0.253,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 3,0.213,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 4,0.22,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 4/5,0.229,22.9,22.9,19.3,3ELA,All Students,Economically Disadvantaged,All Students
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 4/5,0.00,0.0,0.0,16.4,3ELA,All Students,Economically Disadvantaged,Am. Ind/AK
2019,PL 1,0.151,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 2,0.178,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 3,0.247,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 4,0.384,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 4/5,0.425,42.5,42.5,42.1,3ELA,All Students,Economically Disadvantaged,Asian
2019,PL 1,0.263,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 2,0.268,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 3,0.21,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 4,0.249,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 4/5,0.259,25.9,25.9,14.8,3ELA,All Students,Economically Disadvantaged,African Am.
2019,PL 1,0.357,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 2,0.252,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 3,0.217,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 4,0.168,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 4/5,0.174,17.4,17.4,18.7,3ELA,All Students,Economically Disadvantaged,Hispanic
2019,PL 1,0.239,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 2,0.284,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 3,0.224,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 4,0.254,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 4/5,0.254,25.4,25.4,25.7,3ELA,All Students,Economically Disadvantaged,2+
2019,PL 1,0.328,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,White
2019,PL 2,0.149,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,White
2019,PL 3,0.149,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,White
2019,PL 4,0.358,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,White
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Economically Disadvantaged,White
2019,PL 4/5,0.373,37.3,37.3,28.3,3ELA,All Students,Economically Disadvantaged,White
2019,PL 1,0.128,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 2,0.132,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 3,0.185,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 4,0.468,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 5,0.087,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 4/5,0.555,55.5,55.5,48.3,3ELA,All Students,Non-economically Disadvantaged,All Students
2019,PL 1,0.176,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 2,0.118,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 3,0.176,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 4,0.529,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 4/5,0.529,52.9,52.9,42.7,3ELA,All Students,Non-economically Disadvantaged,Am. Ind/AK
2019,PL 1,0.05,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 2,0.074,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 3,0.123,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 4,0.584,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 5,0.169,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 4/5,0.753,75.3,75.3,69.8,3ELA,All Students,Non-economically Disadvantaged,Asian
2019,PL 1,0.154,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 2,0.17,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 3,0.214,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 4,0.411,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 5,0.052,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 4/5,0.463,46.3,46.3,34.7,3ELA,All Students,Non-economically Disadvantaged,African Am.
2019,PL 1,0.253,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 2,0.211,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 3,0.221,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 4,0.292,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 4/5,0.315,31.5,31.5,29.0,3ELA,All Students,Non-economically Disadvantaged,Hispanic
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 4/5,0.00,0.0,0.0,50.0,3ELA,All Students,Non-economically Disadvantaged,HI/Pac. Isl.
2019,PL 1,0.073,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 2,0.098,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 3,0.165,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 4,0.556,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 5,0.109,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 4/5,0.665,66.5,66.5,57.0,3ELA,All Students,Non-economically Disadvantaged,2+
2019,PL 1,0.053,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 2,0.077,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 3,0.174,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 4,0.578,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 5,0.119,0.0,0.0,0.0,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 4/5,0.696,69.6,69.6,60.4,3ELA,All Students,Non-economically Disadvantaged,White
2019,PL 1,0.285,0.0,0.0,0.0,3ELA,All Students,FARMS,All Students
2019,PL 2,0.229,0.0,0.0,0.0,3ELA,All Students,FARMS,All Students
2019,PL 3,0.217,0.0,0.0,0.0,3ELA,All Students,FARMS,All Students
2019,PL 4,0.254,0.0,0.0,0.0,3ELA,All Students,FARMS,All Students
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,FARMS,All Students
2019,PL 4/5,0.27,27.0,27.0,23.4,3ELA,All Students,FARMS,All Students
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 4/5,0.00,0.0,0.0,23.4,3ELA,All Students,FARMS,Am. Ind/AK
2019,PL 1,0.143,0.0,0.0,0.0,3ELA,All Students,FARMS,Asian
2019,PL 2,0.154,0.0,0.0,0.0,3ELA,All Students,FARMS,Asian
2019,PL 3,0.202,0.0,0.0,0.0,3ELA,All Students,FARMS,Asian
2019,PL 4,0.434,0.0,0.0,0.0,3ELA,All Students,FARMS,Asian
2019,PL 5,0.066,0.0,0.0,0.0,3ELA,All Students,FARMS,Asian
2019,PL 4/5,0.5,50.0,50.0,45.7,3ELA,All Students,FARMS,Asian
2019,PL 1,0.234,0.0,0.0,0.0,3ELA,All Students,FARMS,African Am.
2019,PL 2,0.223,0.0,0.0,0.0,3ELA,All Students,FARMS,African Am.
2019,PL 3,0.205,0.0,0.0,0.0,3ELA,All Students,FARMS,African Am.
2019,PL 4,0.313,0.0,0.0,0.0,3ELA,All Students,FARMS,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,FARMS,African Am.
2019,PL 4/5,0.338,33.8,33.8,20.4,3ELA,All Students,FARMS,African Am.
2019,PL 1,0.335,0.0,0.0,0.0,3ELA,All Students,FARMS,Hispanic
2019,PL 2,0.242,0.0,0.0,0.0,3ELA,All Students,FARMS,Hispanic
2019,PL 3,0.222,0.0,0.0,0.0,3ELA,All Students,FARMS,Hispanic
2019,PL 4,0.196,0.0,0.0,0.0,3ELA,All Students,FARMS,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,FARMS,Hispanic
2019,PL 4/5,0.201,20.1,20.1,20.3,3ELA,All Students,FARMS,Hispanic
2019,PL 1,0.19,0.0,0.0,0.0,3ELA,All Students,FARMS,2+
2019,PL 2,0.286,0.0,0.0,0.0,3ELA,All Students,FARMS,2+
2019,PL 3,0.238,0.0,0.0,0.0,3ELA,All Students,FARMS,2+
2019,PL 4,0.267,0.0,0.0,0.0,3ELA,All Students,FARMS,2+
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,FARMS,2+
2019,PL 4/5,0.286,28.6,28.6,28.7,3ELA,All Students,FARMS,2+
2019,PL 1,0.261,0.0,0.0,0.0,3ELA,All Students,FARMS,White
2019,PL 2,0.159,0.0,0.0,0.0,3ELA,All Students,FARMS,White
2019,PL 3,0.236,0.0,0.0,0.0,3ELA,All Students,FARMS,White
2019,PL 4,0.331,0.0,0.0,0.0,3ELA,All Students,FARMS,White
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,FARMS,White
2019,PL 4/5,0.344,34.4,34.4,30.7,3ELA,All Students,FARMS,White
2019,PL 1,0.365,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,All Students
2019,PL 2,0.256,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,All Students
2019,PL 3,0.216,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,All Students
2019,PL 4,0.161,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,All Students
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,All Students
2019,PL 4/5,0.163,16.3,16.3,13.7,3ELA,All Students,Multilingual Learner,All Students
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 4/5,0.00,0.0,0.0,4.3,3ELA,All Students,Multilingual Learner,Am. Ind/AK
2019,PL 1,0.193,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 2,0.215,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 3,0.272,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 4,0.308,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 4/5,0.319,31.9,31.9,28.0,3ELA,All Students,Multilingual Learner,Asian
2019,PL 1,0.302,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 2,0.227,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 3,0.247,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 4,0.224,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 4/5,0.224,22.4,22.4,17.4,3ELA,All Students,Multilingual Learner,African Am.
2019,PL 1,0.416,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 2,0.268,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 3,0.2,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 4,0.116,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 4/5,0.116,11.6,11.6,10.9,3ELA,All Students,Multilingual Learner,Hispanic
2019,PL 1,0.333,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,2+
2019,PL 2,0.238,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,2+
2019,PL 3,0.143,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,2+
2019,PL 4,0.286,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,2+
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,2+
2019,PL 4/5,0.286,28.6,28.6,14.6,3ELA,All Students,Multilingual Learner,2+
2019,PL 1,0.235,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,White
2019,PL 2,0.268,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,White
2019,PL 3,0.221,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,White
2019,PL 4,0.268,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,White
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Multilingual Learner,White
2019,PL 4/5,0.275,27.5,27.5,20.7,3ELA,All Students,Multilingual Learner,White
2019,PL 1,0.465,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,All Students
2019,PL 2,0.225,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,All Students
2019,PL 3,0.141,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,All Students
2019,PL 4,0.158,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,All Students
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,All Students
2019,PL 4/5,0.169,16.9,16.9,10.8,3ELA,All Students,Students with Disabilities,All Students
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 4/5,0.00,0.0,0.0,7.7,3ELA,All Students,Students with Disabilities,Am. Ind/AK
2019,PL 1,0.358,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Asian
2019,PL 2,0.239,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Asian
2019,PL 3,0.147,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Asian
2019,PL 4,0.22,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Asian
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Asian
2019,PL 4/5,0.257,25.7,25.7,22.1,3ELA,All Students,Students with Disabilities,Asian
2019,PL 1,0.52,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 2,0.244,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 3,0.11,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 4,0.11,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 4/5,0.125,12.5,12.5,4.9,3ELA,All Students,Students with Disabilities,African Am.
2019,PL 1,0.609,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 2,0.211,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 3,0.116,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 4,0.065,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 5,0.05,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 4/5,0.065,6.5,6.5,5.5,3ELA,All Students,Students with Disabilities,Hispanic
2019,PL 1,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 2,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 3,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 4,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 5,0.00,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 4/5,0.00,0.0,0.0,10.0,3ELA,All Students,Students with Disabilities,HI/Pac. Isl.
2019,PL 1,0.4,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,2+
2019,PL 2,0.259,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,2+
2019,PL 3,0.141,0.0,0.0,0.0,3ELA,All Students,Students with Disabilities,2+
